name,company_number,jurisdiction_code,search_company_type,search_company_name,search_company_jurisdiction_code,search_company_country_code,search_company_company_number,search_company_country_name
EXIUNIOUS INVESTING LLC,494221-1512,pr,controlling_entity,EXIUNIOUS INVESTING LLC,us_fl,US,L21000079044,United States of America
BERRIOS CONTRACTING GROUP INC.,494060-112,pr,controlling_entity,BERRIOS CONTRACTING GROUP INC,us_fl,US,P21000090447,United States of America
"INSOURCE SERVICES, INC.",493915-112,pr,controlling_entity,"INSOURCE SERVICES, INC.",us_ma,US,043178331,United States of America
ONE SALINAS INDUSTRIAL LLC,493791-1512,pr,controlling_entity,ONE SALINAS INDUSTRIAL LLC,us_de,US,7004857,United States of America
APOGEE GROUP LLC,493597-1512,pr,controlling_entity,"THE APOGEE GROUP, LLC",us_de,US,4257741,United States of America
"FAZOLI'S RESTAURANT GROUP, INC.",493363-112,pr,controlling_entity,"FAZOLI'S RESTAURANT GROUP, INC.",us_de,US,4221298,United States of America
NORTON ROSE FULBRIGHT US LLP,493101-812,pr,controlling_entity,Norton Rose Fulbright US LLP,us_tx,US,0800590432,United States of America
"HIBISCUSPR 359, LLC",492930-1512,pr,controlling_entity,"HIBISCUSPR 329, LLC",us_de,US,,United States of America
JESSEY STAR LLC,492625-1512,pr,controlling_entity,"JESSEY STAR, LLC",us_de,US,6939697,United States of America
EASY OPERATIONS LIMITED LIABILITY COMPANY,492384-1512,pr,controlling_entity,EASY OPERATIONS LLC,us_fl,US,L17000192638,United States of America
STRATEGIC ALLIANCE CONSULTANTS LLC,492139-1512,pr,controlling_entity,"Strategic Alliance Consultants , LLC",us_ky,US,1044643,United States of America
JDA PARTNERS TECHNICAL SERVICES GROUP LLC,491994-1512,pr,controlling_entity,JDA PARTNERS TECHNICAL SERVICES GROUP LLC,us_de,US,5031368,United States of America
BULLISH US OPERATIONS LLC,491617-1512,pr,controlling_entity,BULLISH US OPERATIONS LLC,us_de,US,6804429,United States of America
"HARRY M. STEVENS, INC.",4915-112,pr,controlling_entity,"HARRY M. STEVENS, INC.",us_ny,US,20481,United States of America
"K&J SAFETY AND SECURITY CONSULTING SERVICES, INC.",491258-112,pr,controlling_entity,"K&J SAFETY AND SECURITY CONSULTING SERVICES, INC.",us_fl,US,P02000125926,United States of America
ACCESS LIMITED CONSTRUCTION INC.,491078-112,pr,controlling_entity,ACCESS LIMITED CONSTRUCTION,us_ca,US,3559021,United States of America
SQUIRE PATTON BOGGS (US) LLP,490842-812,pr,controlling_entity,SQUIRE PATTON BOGGS (US) LLP,us_oh,US,954726,United States of America
POWUR PBC INC.,490625-112,pr,controlling_entity,"POWUR, PBC",us_de,US,5458732,United States of America
HOLOGIC SALES AND SERVICE LLC,490481-1512,pr,controlling_entity,"HOLOGIC SALES AND SERVICE, LLC",us_ma,US,001188154,United States of America
WEISENBORN LLC,490163-1512,pr,controlling_entity,WEISENBORN LLC,us_de,US,6267713,United States of America
"HOOP WIRELESS, LLC",490035-1512,pr,controlling_entity,"HOOP WIRELESS, LLC",us_de,US,6875808,United States of America
"LEAFWELL MD, P.A.",489782-112,pr,controlling_entity,"LEAFWELL MD, P.A.",us_fl,US,P21000103024,United States of America
"TROON PUERTO RICO, LLP",489615-812,pr,controlling_entity,"TROON PUERTO RICO, LLP",us_az,US,,United States of America
NEXGEN PHARMACEUTICALS LLC,488947-1512,pr,controlling_entity,NEXGEN PHARMACEUTICALS LLC,us_tx,US,0803324639,United States of America
VELERITY LLC,488667-1512,pr,controlling_entity,VELERITY LLC,us_ma,US,001533034,United States of America
"ALLIED UNIVERSAL SECURITY SERVICES, L.L.C.",488-1532,pr,controlling_entity,"GUARDSMARK (PUERTO RICO), LLC",us_de,US,3256558,United States of America
"ELEVENTH HIRE, INC.",487856-112,pr,controlling_entity,"ELEVENTH HIRE, INC.",us_ut,US,8472114-0142,United States of America
KBA GROUP LLC,487622-1512,pr,controlling_entity,KBA GROUP LLC,us_fl,US,L22000109976,United States of America
AUFFANT AND PARTNERS LIMITED LIABILITY COMPANY,487459-1512,pr,controlling_entity,"AUFFANT AND PARTNERS, LLC",us_fl,US,L21000076742,United States of America
"NET2PHONE 2.0 AMERICA, INC.",487244-112,pr,controlling_entity,"NET2PHONE 2.0 AMERICA, INC.",us_de,US,6410566,United States of America
"SOURCE RECEIVABLES MANAGEMENT, LLC",486998-1512,pr,controlling_entity,"Source Receivables Management, LLC",us_nc,US,1031550,United States of America
"GUARANTEED RATE, INC.",486878-112,pr,controlling_entity,"GUARANTEED RATE, INC.",us_de,US,3123761,United States of America
DUST & SAND CONSTRUCTION PR L.L.C.,486655-1512,pr,controlling_entity,DUST & SAND CONSTRUCTION PR L.L.C.,us_fl,US,,United States of America
CELESTIAL INNOVATIVE SOLUTIONS LIMITED LIABILITY COMPANY,486488-1512,pr,controlling_entity,CELESTIAL INNOVATIVE SOLUTIONS LLC,us_md,US,W21245618,United States of America
RXC ACQUISITION COMPANY,486303-112,pr,controlling_entity,RXC ACQUISITION COMPANY,us_de,US,3995266,United States of America
FINCA ZITRO LLC,486135-1512,pr,controlling_entity,FINCA ZITRO LLC,us_ny,US,6466460,United States of America
RAYMOND LOUIS GUEVARA MINISTRIES INCORPORADO,485889-122,pr,controlling_entity,RAYMOND LOUIS GUEVARA MINISTRIES INCORPORADO,us_fl,US,,United States of America
"THIRTY THOUSAND FEET PRODUCTIONS, INC.",485582-112,pr,controlling_entity,"THIRTY THOUSAND FEET PRODUCTIONS, INC.",us_ny,US,6445447,United States of America
GULF COAST COLLECTION BUREAU INC.,485357-112,pr,controlling_entity,"GULF COAST COLLECTION BUREAU, INC.",us_fl,US,P98000068101,United States of America
DATA QUALITY SCIENCE LLC,485212-1512,pr,controlling_entity,"DATA QUALITY SCIENCE, LLC",us_md,US,W19047232,United States of America
"IM TELECOM, LLC",485028-1512,pr,controlling_entity,"IM TELECOM, LLC",us_ok,US,3512345862,United States of America
ROGUE MOBILE INC.,484877-112,pr,controlling_entity,ROGUE MOBILE INC.,us_de,US,6650577,United States of America
"TTEC HEALTHCARE SOLUTION, INC.",484527-112,pr,controlling_entity,"TTEC HEALTHCARE SOLUTION, INC.",us_de,US,,United States of America
SWISH ANALYTICS PUERTO RICO INC.,484318-112,pr,controlling_entity,SWISH ANALYTICS PUERTO RICO INC.,us_de,US,6698053,United States of America
"CAMS BLUEWIRE TECHNOLOGY, LLC",484113-1512,pr,controlling_entity,"CAMS Bluewire Technology, LLC",us_tx,US,0800955725,United States of America
"HATCH ASSOCIATES CONSULTANTS, INC.",483875-112,pr,controlling_entity,"HATCH ASSOCIATES CONSULTANTS, INC.",us_ny,US,41145,United States of America
RAYMOND JAMES TRUST COMPANY OF NEW HAMPSHIRE,483656-512,pr,controlling_entity,RAYMOND JAMES TRUST COMPANY OF NEW HAMPSHIRE,us_nh,US,879474,United States of America
CASA B MARY LLC,483459-1512,pr,controlling_entity,"CASA B MARY, LLC",us_fl,US,L19000046032,United States of America
"AGRICULTURAL EXPORTS, INC.",483308-112,pr,controlling_entity,"AGRICULTURAL EXPORTS, INC.",us_pa,US,3156977,United States of America
JIBA ENERGY STORAGE LLC,483172-1512,pr,controlling_entity,JIBA ENERGY STORAGE LLC,us_de,US,6622697,United States of America
COINLIST MARKETS LLC,482946-1512,pr,controlling_entity,COINLIST MARKETS LLC,us_de,US,6830858,United States of America
"FIRSTSOURCE HEALTH PLANS AND HEALTHCARE SERVICES, LLC",482554-1512,pr,controlling_entity,"FIRSTSOURCE HEALTH PLANS AND HEALTHCARE SERVICES, LLC",us_de,US,,United States of America
"HIBISCUSPR 105-01, LLC",482357-1512,pr,controlling_entity,"HIBISCUSPR 105-01, LLC",us_de,US,7108238,United States of America
LOREX CORPORATION,482180-112,pr,controlling_entity,LOREX CORPORATION,us_de,US,,United States of America
"HOPPER MONEY (USA), INC.",481941-112,pr,controlling_entity,"HOPPER MONEY (USA), INC.",us_de,US,6545366,United States of America
REALTY RELATIONS GROUP L.L.C.,481697-1512,pr,controlling_entity,"Realty Relations Group, LLC",us_wy,US,2013-000646438,United States of America
TAXACT CORPORATION,481283-112,pr,controlling_entity,TAXACT CORPORATION,us_ia,US,,United States of America
MOON X INC.,480901-112,pr,controlling_entity,MOON X INC.,us_de,US,,United States of America
US PIPELINING LLC,480675-1512,pr,controlling_entity,US Pipelining LLC,us_pa,US,4172865,United States of America
"CASA COQUI, LLC",480340-1512,pr,controlling_entity,"CASA COQUI, LLC",us_de,US,6516618,United States of America
SUPPLY LOGISTICS & PROCUREMENT SERVICES LIMITED LIABILITY COMPANY,480176-1512,pr,controlling_entity,"SUPPLY LOGISTICS & PROCUREMENT SERVICES, LLC",us_il,US,LLC_00972509,United States of America
NATIONAL BOARD OF CHIROPRACTIC EXAMINERS INC.,480028-122,pr,controlling_entity,NATIONAL BOARD OF CHIROPRACTIC EXAMINERS,us_tx,US,0019378501,United States of America
PSSOL INC.,479844-112,pr,controlling_entity,PSSOL INC.,us_de,US,5965320,United States of America
"CH BR HOLDINGS, LLC",479401-1512,pr,controlling_entity,"CH BR HOLDINGS, LLC",us_de,US,6106946,United States of America
"CARBON, INC.",479043-112,pr,controlling_entity,"CARBON, INC.",us_de,US,,United States of America
"VERTICAL BRIDGE NTCF, LLC",478814-1512,pr,controlling_entity,"VERTICAL BRIDGE NTCF, LLC",us_de,US,5567800,United States of America
ADEX ENERGY COMPANY CORPORATION,478347-112,pr,controlling_entity,ADEX ENERGY COMPANY,us_de,US,7297739,United States of America
"MYAMC, LLC",478201-1512,pr,controlling_entity,"MyAMC, LLC",us_tx,US,0801900974,United States of America
TRANSYSTEMS OF PUERTO RICO LLC,477790-1512,pr,controlling_entity,TRANSYSTEMS OF PUERTO RICO LLC,us_mo,US,LC014337917,United States of America
TORTUGA PROPERTIES LIMITED LIABILITY COMPANY,477366-1512,pr,controlling_entity,TORTUGA PROPERTIES LLC,us_de,US,6172236,United States of America
"IDT DOMESTIC TELECOM, INC.",477052-112,pr,controlling_entity,"IDT DOMESTIC TELECOM, INC.",us_de,US,3360204,United States of America
"SUNRUN JUPITER PLEDGOR 2022-1, LLC",476802-1512,pr,controlling_entity,"SUNRUN JUPITER PLEDGOR 2022-1, LLC",us_de,US,6338619,United States of America
"SUNRUN JUPITER HOLDINGS 2022-1, LLC",476586-1512,pr,controlling_entity,"SUNRUN JUPITER HOLDINGS 2022-1, LLC",us_de,US,6338602,United States of America
UQUAL LLC,476468-1512,pr,controlling_entity,UQUAL LLC,us_co,US,20211263616,United States of America
"HEALTHLINK ADVISORS, INC.",476400-112,pr,controlling_entity,"HEALTHLINK ADVISORS, INC.",us_fl,US,P16000022537,United States of America
BETHEL YUUT LLC,476170-1512,pr,controlling_entity,Bethel Yuut LLC,us_ak,US,10129440,United States of America
HOLDEN'S HOLDINGS LLC,475934-1512,pr,controlling_entity,"Holden's Holdings, LLC",us_sc,US,1163122,United States of America
PATTERN CAROLINA SOLAR LLC,475490-1512,pr,controlling_entity,PATTERN CAROLINA SOLAR LLC,us_de,US,6308104,United States of America
RAINFOREST CONNECTION CORPORATION,475066-122,pr,controlling_entity,RAINFOREST CONNECTION,us_ca,US,3550812,United States of America
"OSP CONSORTIUM III, LLC",474660-1512,pr,controlling_entity,"OSP CONSORTIUM III, LLC",us_de,US,6035901,United States of America
OUTI LIMITED LIABILITY COMPANY,474263-1512,pr,controlling_entity,"Outi, LLC",us_co,US,20191962344,United States of America
LOVE 4 WINE LLC,474054-1512,pr,controlling_entity,LOVE 4 WINE LLC,us_fl,US,,United States of America
"B.H. 200 AVENUE RAFAEL CORDERO, LLC",473626-1512,pr,controlling_entity,"B.H. 200 AVENUE RAFAEL CORDERO, LLC",us_ca,US,202127010789,United States of America
CEN PR SOLAR II LLC,473341-1512,pr,controlling_entity,CEN PR SOLAR II LLC,us_de,US,7517258,United States of America
MARITIME STANDARDS LLC,472972-1512,pr,controlling_entity,"MARITIME STANDARDS, LLC",us_tx,US,0802174598,United States of America
"LMSI, LLC",472529-1512,pr,controlling_entity,"LMSI, LLC",us_nc,US,1905718,United States of America
CIPLA USA INC.,472197-112,pr,controlling_entity,CIPLA USA INC.,us_de,US,5207954,United States of America
PR MODULAR CORP.,471867-112,pr,controlling_entity,PR MODULAR CORP.,us_fl,US,P19000075617,United States of America
"MATCON CONSTRUCTION SERVICES, INC.",471619-112,pr,controlling_entity,"MATCON CONSTRUCTION SERVICES, INC.",us_fl,US,P02000028637,United States of America
LEGACY GROUP PUERTO RICO LLC,471482-1512,pr,controlling_entity,LEGACY GROUP OF PUERTO RICO LLC,us_fl,US,,United States of America
"SHALDER TECHNOLOGIES, INC.",471081-112,pr,controlling_entity,"SHALDER TECHNOLOGIES, INC.",us_de,US,3705186,United States of America
PHASOR HEALTH LLC,470661-1512,pr,controlling_entity,Phasor Health LLC,us_tx,US,0802776428,United States of America
"OMNIDIAN, INC.",470472-112,pr,controlling_entity,"OMNIDIAN, INC.",us_de,US,5761495,United States of America
WID LLC,470290-1512,pr,controlling_entity,WID LLC,us_wy,US,2021-001024275,United States of America
SONDEOS ESTRUCTURAS Y GEOTECNIA LLC,469996-1512,pr,controlling_entity,SONDEOS ESTRUCTURAS Y GEOTECNIA LLC,us_ma,US,,United States of America
QUERITEL CORP.,469703-112,pr,controlling_entity,QUERITEL CORP.,us_de,US,3268114,United States of America
"XACT WAREHOUSE SOLUTIONS, LLC",469526-1512,pr,controlling_entity,"Xact Warehouse Solutions, LLC",us_tx,US,0801138583,United States of America
"SUNRUN DEMETER ISSUER 2021-2, LLC",469074-1512,pr,controlling_entity,"SUNRUN DEMETER ISSUER 2021-2, LLC",us_de,US,6061048,United States of America
EOCORP USA INC.,468846-112,pr,controlling_entity,"EOCORP USA, INC",us_fl,US,P18000068036,United States of America
"CROWN BEVERAGE PACKAGING PUERTO RICO, INC.",4687-112,pr,controlling_entity,"CROWN BEVERAGE PACKAGING PUERTO RICO, INC.",us_de,US,802521,United States of America
REMX LLC,468570-1512,pr,controlling_entity,"REMX, LLC",us_ca,US,201413210426,United States of America
UE MONTEHIEDRA OPQOZB II LLC,468336-1512,pr,controlling_entity,UE MONTEHIEDRA OPQOZB II LLC,us_de,US,5976989,United States of America
LOCSAUN AMERICA INC.,468196-112,pr,controlling_entity,LOCSAUN AMERICA INC.,us_de,US,7748745,United States of America
"PRESTIGE EMPLOYEE ADMINISTRATORS, LLC",467873-1512,pr,controlling_entity,"PRESTIGE EMPLOYEE ADMINISTRATORS, LLC",us_ny,US,5898027,United States of America
NATIONAL ENERGY CONTROL SERVICES INC.,467567-112,pr,controlling_entity,NATIONAL ENERGY CONTROL SERVICES INC,us_in,US,198701-914,United States of America
"EQUISOLVE, INC.",467354-112,pr,controlling_entity,"EQUISOLVE, INC.",us_de,US,5460166,United States of America
3 J'S CONSTRUCTION & ELECTRICAL LLC,467232-1512,pr,controlling_entity,3 J'S CONSTRUCTION & ELECTRICAL LLC,us_wv,US,,United States of America
"S&K PICTURES, INC.",466838-112,pr,controlling_entity,"S&K PICTURES, INC.",us_ca,US,2748943,United States of America
"CR MANAGEMENT CO, LLC",466567-1512,pr,controlling_entity,"CR MANAGEMENT PR, LLC",us_ca,US,,United States of America
GUARDSMAN US LLC,466183-1512,pr,controlling_entity,GUARDSMAN US LLC,us_de,US,6569472,United States of America
A.S.R CONTRACTOR LLC,466022-1512,pr,controlling_entity,A.S.R CONTRACTOR LLC,us_fl,US,L16000191960,United States of America
BOUKMAN HOLDINGS LLC,465665-1512,pr,controlling_entity,BOUKMAN HOLDINGS LLC,us_de,US,5888049,United States of America
"DRIFTWOOD HOSPITALITY MANAGEMENT II, LLC",465526-1512,pr,controlling_entity,"RIFTWOOD HOSPITALITY MANAGEMENT II, LLC",us_de,US,,United States of America
CETERA INVESTMENT SERVICES LLC,465297-1512,pr,controlling_entity,CETERA INVESTMENT SERVICES LLC,us_de,US,5243583,United States of America
"FOUR SEASONS ENVIRONMENTAL, INC.",465132-112,pr,controlling_entity,"FOUR SEASONS ENVIRONMENTAL, INC.",us_oh,US,626498,United States of America
"ESTEBAN MORALES & BOBBY CRUZ EDUCATIONAL FOUNDATION, INC.",465-122,pr,controlling_entity,"ESTEBAN MORALES & BOBBY CRUZ EDUCATIONAL FOUNDATION, INC.",us_fl,US,,United States of America
DOS MEDICOS LLC,464679-1512,pr,controlling_entity,"Dos Medicos, LLC",us_ri,US,001720382,United States of America
PEOPLEASE LLC,464395-1512,pr,controlling_entity,PEOPLEASE LLC,us_sc,US,226570,United States of America
BALT USA LLC,464155-1512,pr,controlling_entity,"BALT USA, LLC",us_de,US,4996784,United States of America
FARMSTEAD CAPITAL MANAGEMENT LLC,463899-1512,pr,controlling_entity,"FARMSTEAD CAPITAL MANAGEMENT, LLC",us_nj,US,0600403307,United States of America
"TDB COMMUNICATIONS, INC.",463739-112,pr,controlling_entity,TDB COMMUNICATIONS Inc.,us_dc,US,EXTUID_2697809,United States of America
METANOIA FARM HOLDINGS LLC,463471-1512,pr,controlling_entity,METANOIA FARM HOLDINGS LLC,us_de,US,7717432,United States of America
"NOVUS ARCHITECTS, INC.",462833-112,pr,controlling_entity,"NOVUS ARCHITECTS, INC.",us_sc,US,237865,United States of America
"M.C. DEAN, INC.",462569-112,pr,controlling_entity,"M. C. Dean, Inc.",us_va,US,01105857,United States of America
"GREAT RIVER INDUSTRIES, LLC",462326-1512,pr,controlling_entity,"Great River Industries, LLC",us_ms,US,1042644,United States of America
"GRUPO ESTRELLA, LLC",462001-1512,pr,controlling_entity,"GRUPO ESTRELLA, LLC",us_de,US,7287628,United States of America
USONA DEVELOPMENT LLC,461760-1512,pr,controlling_entity,USONA DEVELOPMENT LLC,us_il,US,LLC_02076586,United States of America
INTERNATIONAL OCD FOUNDATION INC.,461487-122,pr,controlling_entity,INTERNATIONAL OCD FOUNDATION INC.,us_ma,US,,United States of America
"SUNRUN BALERION II MANAGER 2021, LLC",461216-1512,pr,controlling_entity,"SUNRUN BALERION II MANAGER 2021, LLC",us_de,US,5092178,United States of America
SECURE WRAP OF MIAMI INC.,461076-112,pr,controlling_entity,"SECURE WRAP GROUP, INC.",us_fl,US,P94000039301,United States of America
"ENEL X ARECIBO, LLC",460723-1512,pr,controlling_entity,"ENEL X ARECIBO, LLC",us_de,US,4925104,United States of America
ANDERSON AIRBORNE L.L.C.,460437-1512,pr,controlling_entity,ANDERSON AIRBORNE LLC,us_wi,US,A096357,United States of America
SUBSTATION ENGINEERING COMPANY CORPORATION,460253-112,pr,controlling_entity,Substation Engineering Company,us_nc,US,0591323,United States of America
NYDIG EXECUTION LLC,459927-1512,pr,controlling_entity,NYDIG EXECUTION LLC,us_de,US,6790941,United States of America
MEICO USA LLC,459595-1512,pr,controlling_entity,MEICO USA LLC,us_fl,US,L18000027857,United States of America
SMALLCO. LAND LLC,459234-1512,pr,controlling_entity,SMALLCO LAND LLC,us_fl,US,L20000299205,United States of America
MOCEAN TACTICAL L.L.C.,458883-1512,pr,controlling_entity,"Mocean Tactical, LLC",us_ak,US,10125471,United States of America
"KYNDRYL, INC.",458287-112,pr,controlling_entity,"IBM OCEAN US, INC.",us_de,US,,United States of America
PARADISE PROPERTY LLC,458043-1512,pr,controlling_entity,Paradise Property LLC,us_co,US,20211039124,United States of America
LIT US LLC,457546-1512,pr,controlling_entity,LIT US LLC,us_de,US,7590934,United States of America
BRAIN LIBRE L.L.C.,456972-1512,pr,controlling_entity,BRAIN LIBRE LLC,us_fl,US,L20000304769,United States of America
VIDHWAN INC.,456396-112,pr,controlling_entity,"VIDHWAN, INC.",us_ca,US,2432212,United States of America
"SUNRUN KRONOS MANAGER 2020, LLC",456174-1512,pr,controlling_entity,"SUNRUN KRONOS MANAGER 2020, LLC",us_de,US,3423224,United States of America
AMERICAN EXPRESS COMPANY,455890-112,pr,controlling_entity,AMERICAN EXPRESS COMPANY,us_ny,US,188055,United States of America
FIRST NATIONAL TITLE SERVICES INCORPORATED,455708-112,pr,controlling_entity,FIRST NATIONAL TITLE SERVICES INCORPORATED,us_fl,US,,United States of America
TRAINING4ERP LLC,455567-1512,pr,controlling_entity,"training4erp, LLC",us_co,US,20101693410,United States of America
"CLEARBRIDGE TECHNOLOGY GROUP, LLC",455209-1512,pr,controlling_entity,"CLEARBRIDGE TECHNOLOGY GROUP, LLC",us_ma,US,161733443,United States of America
AXIOM GLOBAL INC.,454820-112,pr,controlling_entity,AXIOM GLOBAL INC.,us_de,US,3099569,United States of America
COMMUNITY DEVELOPMENT PROPERTIES PUERTO RICO INC.,454514-122,pr,controlling_entity,"COMMUNITY DEVELOPMENT PROPERTIES PUERTO RICO, INC.",us_de,US,3484870,United States of America
ECOGY PUERTO RICO II LLC,454394-1512,pr,controlling_entity,ECOGY PUERTO RICO II LLC,us_de,US,3941038,United States of America
ENROLLMENT FIRST INC.,454350-112,pr,controlling_entity,"ENROLLMENT FIRST, INC.",us_tn,US,000482508,United States of America
WASH RIVER FILM PRODUCTION PR LLC,454155-1512,pr,controlling_entity,WASH RIVER FILM PRODUCTION PR LLC,us_de,US,4039328,United States of America
PRESTIGE MANAGEMENT GROUP SOLUTIONS L.L.C.,453893-1512,pr,controlling_entity,"PRESTIGE MANAGEMENT GROUP SOLUTIONS,""LLC""",us_fl,US,L17000054765,United States of America
"3SI SECURITY SYSTEMS, INC.",453541-112,pr,controlling_entity,"3SI SECURITY SYSTEMS, INC.",us_de,US,3527654,United States of America
"METROPOLITAN HOUSING FOR THE ELDERLY, LLC",453-1532,pr,controlling_entity,"METROPOLITAN HOUSING FOR THE ELDERLY, LLC",us_de,US,4387710,United States of America
GREGG HOLDINGS LLC,452633-1512,pr,controlling_entity,Gregg Holdings LLC,us_tx,US,0803792630,United States of America
"EGIDA DEL POLICIA-MAYAGUEZ, LLC",452486-1512,pr,controlling_entity,"EGIDA DEL POLICIA-MAYAGUEZ, LLC",us_de,US,3846139,United States of America
"VISUM SEPTEN, LLC",452121-1512,pr,controlling_entity,"VISUM SEPTEN, LLC",us_de,US,3762402,United States of America
"CATAPULT LEARNING, LLC",452-1532,pr,controlling_entity,"CATAPULT LEARNING, LLC",us_de,US,3649827,United States of America
"SAULS SEISMIC, LLC",451646-1512,pr,controlling_entity,"SAULS SEISMIC, LLC",us_de,US,2192282,United States of America
UE RETAIL MANAGEMENT LLC,451051-1512,pr,controlling_entity,UE RETAIL MANAGEMENT LLC,us_de,US,4225195,United States of America
DLR GROUP INC.,450600-112,pr,controlling_entity,DLR GROUP INC.,us_fl,US,K67041,United States of America
"GARDAWORLD FEDERAL SERVICES, LLC",449897-1512,pr,controlling_entity,"AEGIS DEFENSE SERVICES, LLC",us_de,US,4166282,United States of America
WAREHOUSE SUPPLY AND MORE LLC,449252-1512,pr,controlling_entity,"WAREHOUSE SUPPLY AND MORE, LLC",us_fl,US,L20000196021,United States of America
"CPS SOLUTIONS, LLC",448763-1512,pr,controlling_entity,"COMPREHENSIVE PHARMACY SERVICES, LLC",us_de,US,5088982,United States of America
"I.T.N. CONSOLIDATORS, INC.",448237-112,pr,controlling_entity,"I.T.N. CONSOLIDATORS, INC.",us_fl,US,P93000030622,United States of America
"MOBILITIE SERVICES, LLC",447736-1512,pr,controlling_entity,"MOBILITIE SERVICES, LLC",us_de,US,5762336,United States of America
"TEZORO PROPERTY GROUP, LLC",447254-1512,pr,controlling_entity,"Tezoro Holdings, LLC",us_co,US,20161346035,United States of America
"C.M.G. AGENCY, INC.",447-122,pr,controlling_entity,"C.M.G. AGENCY, INC.",us_ne,US,0953241,United States of America
"SARGEANT BULK ASPHALT, INC.",446606-112,pr,controlling_entity,"SARGEANT BULK ASPHALT, INC.",us_de,US,5490835,United States of America
"SALIENT CRGT, INC.",446190-112,pr,controlling_entity,"SALIENT CRGT, INC",us_md,US,D03293040,United States of America
TMG VIEQUES LLC,445769-1512,pr,controlling_entity,TMG VIEQUES LLC,us_nj,US,0450501455,United States of America
JACARANDAS VILLAGE LLC,445183-1512,pr,controlling_entity,"JACARANDAS VILLAGE, LLC",us_de,US,6807620,United States of America
UE MONTEHIEDRA OPQOZB LLC,444865-1512,pr,controlling_entity,UE MONTEHIEDRA OPQOZB LLC,us_de,US,7970768,United States of America
"AHTNA PROFESSIONAL SERVICES, INC.",444426-112,pr,controlling_entity,"Ahtna Professional Services, Inc.",us_ak,US,132027,United States of America
CASA LINDA HOUSING ASSOCIATES CORP.,444137-112,pr,controlling_entity,CASA LINDA HOUSING ASSOCIATES CORP.,us_de,US,7863711,United States of America
"HOBART SALES AND SERVICE, INC.",4440-112,pr,controlling_entity,"HOBART SALES AND SERVICE, INC.",us_oh,US,447903,United States of America
CENTREK TRANSPORTATION LLC,443677-1512,pr,controlling_entity,CENTREK TRANSPORTATION LLC,us_fl,US,L19000135419,United States of America
"OOFOS, INC.",443340-112,pr,controlling_entity,"OOFOS, INC.",us_de,US,7027322,United States of America
"ES PARTNERS, INC.",442754-112,pr,controlling_entity,"ES PARTNERS, INC.",us_fl,US,P10000009587,United States of America
MENTOR TECHNICAL GROUP INTERNATIONAL LLC,442446-1512,pr,controlling_entity,"MENTOR TECHNICAL GROUP INTERNATIONAL, LLC",us_de,US,4723275,United States of America
PAE SHARED SERVICES LLC,442091-1512,pr,controlling_entity,PAE SHARED SERVICES LLC,us_de,US,6542884,United States of America
"PRODUCTION RESOURCE GROUP, L.L.C.",441892-1512,pr,controlling_entity,"PRODUCTION RESOURCE GROUP, L.L.C.",us_de,US,2531186,United States of America
"PIVOTAL RETAIL GROUP, LLC",441540-1512,pr,controlling_entity,"Pivotal Retail Group, LLC",us_tx,US,0801351577,United States of America
TDC SPECIALTY UNDERWRITERS INCORPORATED,441264-112,pr,controlling_entity,"TDC SPECIALTY UNDERWRITERS, INC.",us_ct,US,1196034,United States of America
"AUTOIPACKET, LLC",440935-1512,pr,controlling_entity,"AUTOIPACKET, LLC",us_de,US,5178343,United States of America
"SUNNOVA SAP IV, LLC",440749-1512,pr,controlling_entity,"SUNNOVA SAP IV, LLC",us_de,US,7479456,United States of America
"DRFIRST.COM, INC.",440412-112,pr,controlling_entity,"DRFIRST.COM, INC.",us_de,US,3150763,United States of America
S & K INVESTMENTS LLC,440311-1512,pr,controlling_entity,S & K INVESTMENTS LLC,us_de,US,7416186,United States of America
HCL SOFTWARE PRODUCTS LIMITED INC.,439986-112,pr,controlling_entity,HCL SOFTWARE PRODUCTS LIMITED INC.,us_ca,US,,United States of America
"SOLAR RESPONDERS, INC.",439872-122,pr,controlling_entity,"SOLAR RESPONDERS, INC.",us_ny,US,5505642,United States of America
"MIYAMOTO INTERNATIONAL, INC.",439580-112,pr,controlling_entity,"MIYAMOTO INTERNATIONAL, INC.",us_ca,US,0627639,United States of America
RBG HOLDINGS LLC,439158-1512,pr,controlling_entity,"RBG Holdings, LLC",us_ak,US,10107356,United States of America
"PROVENANCE TECHNOLOGIES, INC.",438987-112,pr,controlling_entity,"PROVENANCE TECHNOLOGIES, INC.",us_de,US,7106971,United States of America
BNA LLC,438439-1512,pr,controlling_entity,"BNA, LLC",us_ut,US,9613476-0160,United States of America
MMG I PR CR LLC,437922-1512,pr,controlling_entity,MMG I PR CR LLC,us_ny,US,,United States of America
OKCOIN USA INC.,437629-112,pr,controlling_entity,OKCOIN USA INC.,us_de,US,6540759,United States of America
"NEWFIELDS COMPANIES, LLC",437106-1512,pr,controlling_entity,"NEWFIELDS COMPANIES, LLC",us_de,US,5653694,United States of America
CHECKFREEPAY CORPORATION,436702-112,pr,controlling_entity,CHECKFREEPAY CORPORATION,us_ct,US,0244615,United States of America
MAYAN EDMS LLC,436316-1512,pr,controlling_entity,MAYAN EDMS LLC,us_de,US,5956364,United States of America
