grantee,registration_index,corp_name,status_es,match_type
Biometrics Imagineering Inc.,92135-111,"BIOMETRICS IMAGINEERING, INC",CANCELADA,exact
"WARTSILA CARIBBEAN, INC.",92155-111,"WARTSILA CARIBBEAN, INC.",ACTIVA,exact
"PRODUCTOS PACHECO, INC.",91454-111,"PRODUCTOS PACHECO, INC.",ACTIVA,exact
"TECHNICAL INDUSTRIAL SALES, INC.",92666-111,"TECHNICAL INDUSTRIAL SALES, INC.",ACTIVA,exact
ALUMINUM AND METAL SERVICES CORP,93437-111,ALUMINUM AND METAL SERVICES CORP.,ACTIVA,exact
"Catalent P.R. Humacao, Inc.",93521-111,"CATALENT PR HUMACAO, INC.",ACTIVA,exact
BB Bedding Inc,94204-111,"B.B. BEDDING, INC.",CONVERSIÓN,exact
"CARIBBEAN PACKAGING, INC.",93759-111,CARIBBEAN PACKAGING INC,CANCELADA,exact
Venture Steel Inc,94886-111,"VENTURE STEEL, INC.",ACTIVA,exact
"Sportzone, Inc.",94917-111,"SPORTZONE, INC.",ACTIVA,exact
"ENVIRONMENTAL RESOURCES MANAGEMENT PUERTO RICO, INC.",94919-111,"ENVIRONMENTAL RESOURCES MANAGEMENT PUERTO RICO, INC.",ACTIVA,exact
PAN PEPIN BAKING COMPANY INC,95377-111,"PAN PEPIN BAKING COMPANY, INC.",DISUELTA,exact
"Dimalsa Logistics, Corp.",95389-111,DIMALSA LOGISTICS CORP,ACTIVA,exact
AIRMEC FLUID POWER CORP.,95416-111,AIRMEC FLUID POWER CORP.,CANCELADA,exact
"Blue Ocean Trading, Corp.",95423-111,"BLUE OCEAN TRADING, CORP.",ACTIVA,exact
Nova Terra Inc.,95606-111,"NOVA TERRA, INC.",ACTIVA,exact
PELEGRINA INTERNATIONAL CORP,95633-111,PELEGRINA INTERNATIONAL CORP.,ACTIVA,exact
"CHARLOTTE DE PUERTO RICO, INC.",95871-111,"CHARLOTTE DE PUERTO RICO, INC.",CANCELADA,exact
"Pronatura Inc,",96190-111,"PRONATURA, INC.",CANCELADA,exact
"E.D. MARTINEZ, INC.",96411-111,"E.D. MARTINEZ, INC.",ACTIVA,exact
VENTURE STEEL INC,94886-111,"VENTURE STEEL, INC.",ACTIVA,exact
Sportzone Inc.,94917-111,"SPORTZONE, INC.",ACTIVA,exact
"DIRECT RESPONSOURCE, INC.",95573-111,"DIRECT RESPONSOURCE, INC",CANCELADA,exact
"VENTURE STEEL, INC.",94886-111,"VENTURE STEEL, INC.",ACTIVA,exact
"Phelon Parts, Inc.",96880-111,"PHELON PARTS, INC.",DISUELTA,exact
"SAN JUAN TOWING & MARINE SERVICES, INC.",97086-111,"SAN JUAN TOWING & MARINE SERVICES, INC.",ACTIVA,exact
Netwave Equipment Corp,97109-111,NETWAVE EQUIPMENT CORP.,ACTIVA,exact
"MEGAS DE PUERTO RICO, INC.",97149-111,MEGAS DE PUERTO RICO INC.,CANCELADA,exact
"Advanced Graphic Printing, Inc.",97222-111,"ADVANCED GRAPHIC PRINTING, INC.",FUSIONADA,exact
IFCO Recycling Inc,97288-111,"IFCO RECYCLING, INC.",ACTIVA,exact
Kandor Manufacturing Inc,97714-111,"KANDOR MANUFACTURING, INC.",ACTIVA,exact
"BENITEZ METAL MANUFACTURING, CORP",97715-111,"BENITEZ METAL MANUFACTURING, CORP.",ACTIVA,exact
"Impression Associates, Inc.",97721-111,"IMPRESSION ASSOCIATES, INC.",ACTIVA,exact
"Busvicam Realty, Inc.",97751-111,"BUSVICAM REALTY, INC.",ACTIVA,exact
"PACIV, Inc.",97940-111,"PACIV, INC.",ACTIVA,exact
"Rock Solid Technologies, Inc.",98093-111,"ROCK SOLID TECHNOLOGIES, INC.",ACTIVA,exact
PSC REAL ESTATE CORP.,98123-111,P.S.C. REAL ESTATE CORP.,ACTIVA,exact
"MEDBAL, INC.",98143-111,"MEDBAL, INC.",ACTIVA,exact
"DEVITEK, INC",98211-111,"DEVITEK, INC",CANCELADA,exact
Luzag Corp,98554-111,"LUZAG, CORP.",CANCELADA,exact
SECURITY WINDOWS & DOORS MANUFACTURING CORPORATION,96712-111,SECURITY WINDOWS & DOORS MANUFACTURING CORPORATION,CANCELADA,exact
Oriental Sand and Gravel Inc,96911-111,"ORIENTAL SAND AND GRAVEL, INC.",ACTIVA,exact
Netwave Equipment Corp.,97109-111,NETWAVE EQUIPMENT CORP.,ACTIVA,exact
ADVANCED GRAPHIC PRINTING INC,97222-111,"ADVANCED GRAPHIC PRINTING, INC.",FUSIONADA,exact
IFCO RECYCLING INC,97288-111,"IFCO RECYCLING, INC.",ACTIVA,exact
"KANDOR MANUFACTURING, INC",97714-111,"KANDOR MANUFACTURING, INC.",ACTIVA,exact
Impression Associates Inc.,97721-111,"IMPRESSION ASSOCIATES, INC.",ACTIVA,exact
"JOY S.A., INC.",97857-111,"JOY S.A., INC.",ACTIVA,exact
"ROCK SOLID TECHNOLOGIES, INC.",98093-111,"ROCK SOLID TECHNOLOGIES, INC.",ACTIVA,exact
"ORIENTAL SAND AND GRAVEL, INC.",96911-111,"ORIENTAL SAND AND GRAVEL, INC.",ACTIVA,exact
GAS CONNECTION CORPORATION,98849-111,GAS CONNECTION CORPORATION,ACTIVA,exact
CONTROLLED DEMOLITION AND RECYCLING CORP.,99029-111,CONTROLLED DEMOLITION AND RECYCLING CORP.,CANCELADA,exact
"VIZCAYA FOODS, INC.",99131-111,"VIZCAYA FOODS, INC.",CANCELADA,exact
DISTRIBUTION CONTROL SYSTEMS CARIBE INC.,99195-111,"DISTRIBUTION CONTROL SYSTEMS CARIBE, INC.",ACTIVA,exact
"Inmobiliaria M.G., Inc.",99341-111,"INMOBILIARIA M.G., INC.",ACTIVA,exact
"Oil Energy System, INC.",99659-111,"OIL ENERGY SYSTEM, INC.",ACTIVA,exact
"GAMAXPORT, INC.",99759-111,"GAMAXPORT, INC.",ACTIVA,exact
"EBI Patient Care, Inc.",99847-111,"EBI PATIENT CARE, INC.",ACTIVA,exact
Woodwork Developers Inc.,99902-111,"WOODWORK DEVELOPERS, INC.",ACTIVA,exact
"ASD-ACCURATE SOLUTIONS & DESIGNS, INC.",99983-111,"ASD-ACCURATE SOLUTIONS & DESIGNS, INC.",CANCELADA,exact
"Bettina Cosmetics, Inc.",100074-111,"BETTINA COSMETICS, INC.",ACTIVA,exact
"CIRACET, Corp.",100334-111,"CIRACET, CORP.",ACTIVA,exact
"Validation & Engineering Group, Inc.",100483-111,"VALIDATION & ENGINEERING GROUP, INC.",ACTIVA,exact
TROFIMA CORPORATION,100489-111,TROFIMA CORPORATION,ACTIVA,exact
"CARIBBEAN COMPOSTING, INC.",100765-111,"CARIBBEAN COMPOSTING, INC.",ACTIVA,exact
"OIL ENERGY SYSTEM, INC ",99659-111,"OIL ENERGY SYSTEM, INC.",ACTIVA,exact
"BETTINA COSMETICS, INC.",100074-111,"BETTINA COSMETICS, INC.",ACTIVA,exact
Gulf Treating Inc.,100714-111,"GULF TREATING, INC.",ACTIVA,exact
GULF TREATING INC,100714-111,"GULF TREATING, INC.",ACTIVA,exact
"GULF TREATING, INC.",100714-111,"GULF TREATING, INC.",ACTIVA,exact
"E.L.M., Inc.",100884-111,"E.L.M., INC.",ACTIVA,exact
"Amistad Properties, Inc.",101215-111,"AMISTAD PROPERTIES, INC.",ACTIVA,exact
Distribuidora La Jugosita Inc.,101295-111,"DISTRIBUIDORA LA JUGOSITA, INC.",ACTIVA,exact
Empresas El Yaucano Inc.,101457-111,"EMPRESAS EL YAUCANO, INC.",ACTIVA,exact
PUERTO RICO PALLET RECYCLING INC.,101463-111,PUERTO RICO PALLET RECYCLING INC.,ACTIVA,exact
"ATAHUALPA, INC.",101479-111,"ATAHUALPA, INC.",DISUELTA,exact
Verticolor Manufacturing Corporation,101953-111,VERTICOLOR MANUFACTURING CORPORATION,ACTIVA,exact
"TALLER DE RECICLAJE DE METALES, INC.",101997-111,"TALLER DE RECICLAJE DE METALES, INC.",ACTIVA,exact
"PUERTO RICO TELEPHONE COMPANY, INC.",102198-111,"PUERTO RICO TELEPHONE COMPANY, INC.",ACTIVA,exact
New Million Corp,102200-111,"NEW MILLION, CORP.",ACTIVA,exact
"MAPEI CARIBE, INC.",102218-111,"MAPEI CARIBE, INC.",ACTIVA,exact
"FADYRO DISTRIBUTORS, INC.",102682-111,"FADYRO DISTRIBUTORS, INC.",ACTIVA,exact
A.M.O Specialty Corp,102709-111,"A.M.O. SPECIALTY, CORP.",ACTIVA,exact
CRISTALERIA WILLIE CARDONA INC,102766-111,"CRISTALERIA WILLIE CARDONA, INC.",CANCELADA,exact
Cover y Más Cover Inc.,100796-111,"COVER Y MAS COVER, INC.",ACTIVA,exact
Mapei Caribe Inc.,102218-111,"MAPEI CARIBE, INC.",ACTIVA,exact
"CORTELCO SYSTEMS PUERTO RICO, INC.",102887-111,"CORTELCO SYSTEMS PUERTO RICO, INC.",ACTIVA,exact
Prodespaña Inc.,102975-111,"PRODESPAÑA, INC.",ACTIVA,exact
ADVANCE EXPORT INC.,103108-111,"ADVANCE EXPORT, INC.",ACTIVA,exact
"Skytec, Inc.",103288-111,"SKYTEC, INC.",ACTIVA,exact
"Stoneworks Granite and Marble del Caribe, Inc.",103298-111,"STONEWORKS GRANITE AND MARBLE DEL CARIBE, INC.",ACTIVA,exact
EJS Incorporado,103429-111,"EJS, INCORPORADO",CANCELADA,exact
NATURAL IMPROVEMENT INC,103674-111,"NATURAL IMPROVEMENT, INC.",CANCELADA,exact
Ecolift Corporation,103690-111,ECOLIFT CORPORATION,ACTIVA,exact
CAROLINA RECYCLING CORPORATION,103706-111,CAROLINA RECYCLING CORPORATION,ACTIVA,exact
Ricky Martin Enterprises Inc.,103791-111,"RICKY MARTIN ENTERPRISES, INC.",ACTIVA,exact
"VIRTUAL, INC.",103897-111,"VIRTUAL, INC.",FUSIONADA,exact
"Numeat Packing, Inc.",103986-111,"NUMEAT PACKING, INC.",ACTIVA,exact
"VA BIEN INTERNATIONAL, INC",104134-111,"VA BIEN INTERNATIONAL, INC.",ACTIVA,exact
Top Apparel Corp.,104807-111,TOP APPAREL CORP.,CANCELADA,exact
SUPER ASPHALT PAVEMENT CORP,104836-111,"SUPER ASPHALT PAVEMENT, CORP.",ACTIVA,exact
Skytec Inc.,103288-111,"SKYTEC, INC.",ACTIVA,exact
ECOLIFT CORPORATION,103690-111,ECOLIFT CORPORATION,ACTIVA,exact
Numeat Packing Inc.,103986-111,"NUMEAT PACKING, INC.",ACTIVA,exact
KSM ELECTRONICS OF PUERTO RICO INC,104982-111,"KSM ELECTRONICS OF PUERTO RICO, INC.",CANCELADA,exact
"Galephar Pharmaceutical Research, Inc.",105271-111,GALEPHAR PHARMACEUTICAL RESEARCH INC,ACTIVA,exact
NSC PUERTO RICO INC,105404-111,NSC PUERTO RICO INC.,CANCELADA,exact
"NEW COMM 2000, CORP.",105406-111,"NEW COMM 2000, CORP",ACTIVA,exact
"WILMAR DISTRIBUTORS, INC.",105674-111,"WILMAR DISTRIBUTORS ,INC.",CANCELADA,exact
Ericsson Caribbean Inc.,106645-111,"ERICSSON CARIBBEAN, INC.",CANCELADA,exact
"PERFILES DE ALUMINIO, INC.",106936-111,"PERFILES DE ALUMINIO, INC.",ACTIVA,exact
TBG Specialties Corp,105464-111,TBG SPECIALTIES CORP,CANCELADA,exact
"Estructuras Ambientales, Inc,",106432-111,"ESTRUCTURAS AMBIENTALES, INC.",CANCELADA,exact
Perfiles de Aluminio Inc.,106936-111,"PERFILES DE ALUMINIO, INC.",ACTIVA,exact
Puerto Rico Rotation Molding Corp,106953-111,"PUERTO RICO ROTATION MOLDING, CORP.",FUSIONADA,exact
Ciba Vision Puerto Rico Inc.,107245-111,CIBA VISION PUERTO RICO INC.,DISUELTA,exact
HARRIS PAINTS CORP ,107293-111,HARRIS PAINTS CORP.,ACTIVA,exact
Alara Pharmaceutical Corporation,107526-111,ALARA PHARMACEUTICAL CORPORATION,CANCELADA,exact
"Productos La Finca, Inc.",107682-111,PRODUCTOS LA FINCA INC.,ACTIVA,exact
"SERVI REALTY, INC.",107860-111,"SERVI REALTY, INC.",CONVERSIÓN,exact
UltraPure Systems Inc.,107998-111,"ULTRAPURE SYSTEMS, INC.",ACTIVA,exact
"Next Day Signs, Inc.",108078-111,"NEXT DAY SIGNS, INC.",ACTIVA,exact
"Arecibo Printing, Inc.",108351-111,"ARECIBO PRINTING, INC.",CANCELADA,exact
"DANTZLER TRADE, INC.",108477-111,"DANTZLER TRADE, INC.",ACTIVA,exact
EUROKITCHENS INC,108621-111,"EUROKITCHENS, INC.",CANCELADA,exact
JG INDUSTRIES INC,108812-111,"JG INDUSTRIES, INC.",CANCELADA,exact
EQUANT PUERTO RICO INC,108860-111,EQUANT PUERTO RICO INC.,DISUELTA,exact
Servi Realty Inc.,107860-111,"SERVI REALTY, INC.",CONVERSIÓN,exact
"Euro Windows, Inc.",108087-111,"EURO WINDOWS, INC.",ACTIVA,exact
Equant Puerto Rico Inc.,108860-111,EQUANT PUERTO RICO INC.,DISUELTA,exact
Isla Bonita Metals Inc.,109211-111,"ISLA BONITA METALS, INC.",ACTIVA,exact
Met Pro Inc.,109375-111,MET PRO INC.,ACTIVA,exact
AFA Plastics Corporation,109474-111,AFA PLASTICS CORPORATION,ACTIVA,exact
"CITY SIGNS MANUFACTURING, INC",109498-111,"CITY SIGNS MANUFACTURING, INC.",CANCELADA,exact
"Sun Colors Digital Graphics, Inc.",109904-111,"SUN COLORS DIGITAL GRAPHICS, INC.",ACTIVA,exact
Island Can Caribbean Inc,109916-111,"ISLAND CAN CARIBBEAN, INC.",ACTIVA,exact
"VEGA ALUMINUM RECYCLING, INC.",110365-111,"VEGA ALUMINUM RECYCLING, INC.",ACTIVA,exact
TOLEDO ENGINEERING CORP,109169-111,TOLEDO ENGINEERING CORP.,CONVERSIÓN,exact
AFA PLASTICS CORPORATION,109474-111,AFA PLASTICS CORPORATION,ACTIVA,exact
Es Television Corp,109614-111,"ES TELEVISION, CORP.",ACTIVA,exact
COTY PUERTO RICO INC,109896-111,COTY PUERTO RICO INC.,FUSIONADA,exact
"ISLAND CAN CARIBBEAN, INC.",109916-111,"ISLAND CAN CARIBBEAN, INC.",ACTIVA,exact
"Coco Beach Utility Company, Inc.",110972-111,"COCO BEACH UTILITY COMPANY, INC.",ACTIVA,exact
Coty Puerto Rico Inc.,109896-111,COTY PUERTO RICO INC.,FUSIONADA,exact
ISLAND CAN CARIBBEAN INC,109916-111,"ISLAND CAN CARIBBEAN, INC.",ACTIVA,exact
"MIRANDA L.S., INC.",111511-111,"MIRANDA L.S., INC.",ACTIVA,exact
"ENVIRONICS RECYCLING SERVICES, INC.",111644-111,"ENVIRONICS RECYCLING SERVICES, INC.",DISUELTA,exact
CARIBE RECYCLING CORPORATION,111843-111,CARIBE RECYCLING CORPORATION,ACTIVA,exact
B FERNANDEZ INVESTMENT CORP,111876-111,"B. FERNANDEZ INVESTMENT, CORP.",ACTIVA,exact
"SMART SIGNS, INC.",112267-111,"SMART SIGNS, INC.",CANCELADA,exact
"Del Patio Films, Inc.",112474-111,DEL PATIO FILMS INC.,CANCELADA,exact
" OFW TRADING, INC.",112556-111,"OFW TRADING, INC.",CANCELADA,exact
MORALES DISTRIBUTORS INC,112571-111,MORALES DISTRIBUTORS INC.,CANCELADA,exact
"DOÑA YIYA FOODS, INC.",113184-111,DOÑA YIYA FOODS INC.,ACTIVA,exact
"DUI, INCORPORADO",113417-111,"DUI, INCORPORADO",ACTIVA,exact
Schnitzer Puerto Rico Inc,113646-111,"SCHNITZER PUERTO RICO, INC",ACTIVA,exact
Engiworks Corp.,113828-111,"ENGIWORKS, CORP.",ACTIVA,exact
"DDM Professional Leasing Services, Inc.",114364-111,"DDM PROFESSIONAL LEASING SERVICES, INC.",ACTIVA,exact
"WC Caribbean Instruments, Corp",115217-111,"W.C. CARIBBEAN INSTRUMENTS, CORP.",ACTIVA,exact
Puerto Rico Steel Products Corp.,115331-111,PUERTO RICO STEEL PRODUCTS CORP.,ACTIVA,exact
RUBBER RECYCLING AND MANUFACTURING INC,115346-111,"RUBBER RECYCLING AND MANUFACTURING, INC.",CANCELADA,exact
Structural Solutions Inc.,115462-111,STRUCTURAL SOLUTIONS INC.,CANCELADA,exact
PSI Caribbean Inc.,115516-111,"PSI CARIBBEAN, INC.",ACTIVA,exact
E-NABLER CORPORATION,115704-111,E-NABLER CORPORATION,ACTIVA,exact
FT validation Corp,115995-111,FT VALIDATION CORP.,DISUELTA,exact
PUERTO RICO STEEL PRODUCTS CORP.,115331-111,PUERTO RICO STEEL PRODUCTS CORP.,ACTIVA,exact
IMSA Caribbean Inc.,115393-111,"IMSA CARIBBEAN, INC.",DISUELTA,exact
Wometco Donas Inc.,117662-111,"WOMETCO DONAS, INC.",CANCELADA,exact
LIH Group Inc.,117696-111,"LIH GROUP, INC.",CANCELADA,exact
"JOGLAR AGGREGATES, CORP.",117799-111,JOGLAR AGGREGATES CORP.,CANCELADA,exact
PUERTO RICO RETREADING COMPANY INC.,118007-111,PUERTO RICO RETREADING COMPANY INC.,ACTIVA,exact
Graphics Arts Printing Inc,118165-111,GRAPHICS ARTS PRINTING INC.,CANCELADA,exact
J.R. QUALITY METAL CORPORATION,118386-111,J.R. QUALITY METAL CORPORATION,DISUELTA,exact
"NINGUNA CIENCIA, INC.",118414-111,"NINGUNA CIENCIA, INC.",CANCELADA,exact
FUNDACION DE INVESTIGACION DE DIEGO INC,118690-111,"FUNDACION DE INVESTIGACION DE DIEGO, INC.",ACTIVA,exact
JR Fast Digital Printing Inc.,119059-111,"JR FAST DIGITAL PRINTING, INC.",ACTIVA,exact
Desarrollos Arquitectónicos (DASE) Inc.,118892-111,"DESARROLLOS ARQUITECTONICOS (DASE), INC.",ACTIVA,exact
"CRITICAL HUB NETWORKS, INC.",119790-111,"CRITICAL HUB NETWORKS, INC.",ACTIVA,exact
"B.I.W. GABINETES, INC.",119988-111,"B.I.W. GABINETES, INC.",CANCELADA,exact
"BUSINESS CONSULTING SERVICES, INC.",120273-111,BUSINESS CONSULTING SERVICES INC.,CANCELADA,exact
"Mirus Consulting Group, Corp.",120461-111,MIRUS CONSULTING GROUP CORP.,ACTIVA,exact
"PDMTECH, INC.",120721-111,"PDMTECH, INC.",ACTIVA,exact
"PCB Horizon Technology, Inc.",120915-111,P.C.B. HORIZON TECHNOLOGY INC.,DISUELTA,exact
HERA PRINTING CORP.,120965-111,HERA PRINTING CORP.,ACTIVA,exact
XTRATEGIT CORP,121012-111,"XTRATEGIT, CORP.",CANCELADA,exact
"CARIBBEAN CAST STONE, INC.",121024-111,"CARIBBEAN CAST STONE, INC.",ACTIVA,exact
"CARIBBEAN NUTRACEUTICAL, INC.",121066-111,"CARIBBEAN NUTRACEUTICAL, INC.",DISUELTA,exact
"ARC Com, Inc.",121095-111,"ARC COM, INC.",CANCELADA,exact
Puerto Rico Jet Aircraft Services Inc.,121213-1011,"PUERTO RICO JET AIRCRAFT SERVICES, INC.",ACTIVA,exact
Unicon Holdings Inc.,121232-111,"UNICON HOLDINGS, INC.",CANCELADA,exact
Hera Printing Corp,120965-111,HERA PRINTING CORP.,ACTIVA,exact
JC Manufacturing Inc.,121245-111,JC MANUFACTURING INC.,ACTIVA,exact
"TARIK PACKING SERVICES, INC.",121935-111,TARIK PACKING SERVICES INC.,CANCELADA,exact
Olein Recovery Corporation,122063-111,OLEIN RECOVERY CORPORATION,ACTIVA,exact
"Pan American Properties, Corp.",122484-1011,"PAN AMERICAN PROPERTIES, CORP.",ACTIVA,exact
PRIME AIR CORP.,122883-111,PRIME AIR CORP.,ACTIVA,exact
PAN AMERICAN PROPERTIES CORP.,122484-1011,"PAN AMERICAN PROPERTIES, CORP.",ACTIVA,exact
PRIME AIR CORP,122883-111,PRIME AIR CORP.,ACTIVA,exact
"ECOLOGICA CARMELO, INC.",123697-111,"ECOLOGICA CARMELO, INC.",ACTIVA,exact
"CF Food Company, Inc.",124420-111,"CF FOOD COMPANY, INC.",DISUELTA,exact
"IT GROUP TECHNOLOGY CONSULTANTS, INC.",124666-111,"IT GROUP TECHNOLOGY CONSULTANTS, INC.",ACTIVA,exact
WR Recycling Inc.,124840-1011,"W.R. RECYCLING, INC.",ACTIVA,exact
"CENTRAL PACKAGING CARIBE, INC.",124943-111,"CENTRAL PACKAGING CARIBE, INC.",ACTIVA,exact
"Elizabeth Arden (Export), Inc.",123533-111,"ELIZABETH ARDEN (EXPORT), INC.",DISUELTA,exact
ECOLOGICA CARMELO INC,123697-111,"ECOLOGICA CARMELO, INC.",ACTIVA,exact
"ECOLOGICA CARMELO, INC",123697-111,"ECOLOGICA CARMELO, INC.",ACTIVA,exact
Ecológica Carmelo Inc.,123697-111,"ECOLOGICA CARMELO, INC.",ACTIVA,exact
"GDL, Inc.",125112-111,"GDL, INC.",DISUELTA,exact
Ornamentacion Quintana Inc.,125173-111,"ORNAMENTACION QUINTANA, INC.",ACTIVA,exact
"CJD MANAGEMENT GROUP, INC",125808-111,"CJD MANAGEMENT GROUP, INC.",ACTIVA,exact
"Netxar Technologies, Inc.",125868-111,NETXAR TECHNOLOGIES INC.,ACTIVA,exact
GRAWIL PRECAST MANUFACTURERS INC,126201-111,"GRAWIL PRECAST MANUFACTURERS, INC.",CANCELADA,exact
"IPABE, INC.",126207-1011,"IPABE, INC.",CANCELADA,exact
BORINQUEN CONTAINER CORP.,126278-111,BORINQUEN CONTAINER CORP,ACTIVA,exact
Identech Inc.,126330-111,IDENTECH INC.,ACTIVA,exact
WINDMAR RENEWABLE ENERGY INC,126573-111,"WINDMAR RENEWABLE ENERGY, INC",ACTIVA,exact
"PRT Larga Distancia, Inc.",126653-111,"PRT LARGA DISTANCIA, INC.",DISUELTA,exact
ALUMINUM & GLASS CENTER MANUFACTURING CORP.,126670-111,"ALUMINUM & GLASS CENTER MANUFACTURING, CORP.",CANCELADA,exact
ALUMINUM & GLASS CENTER MANUFACTURING CORP.,126804-111,"ALUMINUM & GLASS CENTER MANUFACTURING, CORP.",ACTIVA,exact
"C-AXIS PR, INC",127036-111,"C-AXIS PR, INC.",ACTIVA,exact
Invision Engineering Corp,127108-111,INVISION ENGINEERING CORP.,ACTIVA,exact
"GULBRANDSEN PUERTO RICO, INC.",127117-111,"GULBRANDSEN PUERTO RICO, INC.",ACTIVA,exact
"SOUTHERN WOOD TREATING, INC.",127200-111,"SOUTHERN WOOD TREATING, INC.",ACTIVA,exact
SATCO PRODUCTS OF PUERTO RICO INC,127395-111,"SATCO PRODUCTS OF PUERTO RICO, INC.",ACTIVA,exact
"SSW Realty, Inc.",127828-111,"SSW REALTY, INC",ACTIVA,exact
"J. TORRES WOODEN PALLETS RECYCLING, INC.",128172-111,"J. TORRES WOODEN PALLETS RECYCLING, INC.",ACTIVA,exact
HOYOS INC,128501-111,"HOYOS, INC.",CANCELADA,exact
"ACCUPRINT, INC.",128676-1011,ACCUPRINT INC.,DISUELTA,exact
"C-Axis PR Inc,.",127036-111,"C-AXIS PR, INC.",ACTIVA,exact
"Echo Consulting Group, Inc.",127277-111,"ECHO CONSULTING GROUP, INC.",ACTIVA,exact
SSW Realty Inc.,127828-111,"SSW REALTY, INC",ACTIVA,exact
J. Torres Wooden Pallets Recycling Inc.,128172-111,"J. TORRES WOODEN PALLETS RECYCLING, INC.",ACTIVA,exact
Kingdom Packing Company Inc.,128959-111,"KINGDOM PACKING COMPANY, INC.",CANCELADA,exact
FRENDA CORPORATION,128983-111,FRENDA CORPORATION,ACTIVA,exact
INNOVATIVE SOLUTIONS INC,129006-111,INNOVATIVE SOLUTIONS INC.,ACTIVA,exact
"MOJITO CRIOLLO MARGO, INC.",129140-111,"MOJITO CRIOLLO MARGO, INC.",CANCELADA,exact
VI Music Inc.,129748-111,"VI MUSIC, INC.",CANCELADA,exact
"RIGUAL PLANTS CARIBBEAN, INC",129869-111,"RIGUAL PLANTS CARIBBEAN, INC.",CANCELADA,exact
"Consorcio Las Lomas, Inc.",129948-111,CONSORCIO LAS LOMAS INC.,DISUELTA,exact
"MATERIALS MANAGEMENT, INC.",129764-111,"MATERIALS MANAGEMENT, INC.",CANCELADA,exact
SOFTEK EXPORT INC,129943-111,"SOFTEK EXPORT, INC.",FUSIONADA,exact
Softek Export Inc,129943-111,"SOFTEK EXPORT, INC.",FUSIONADA,exact
"TRENCHERS SPECIALIZED EQUIPMENT OF PUERTO RICO, INC.",131006-111,"TRENCHERS SPECIALIZED EQUIPMENT OF PUERTO RICO, INC",CANCELADA,exact
"EDGARDO BONILLA VALIDATION SERVICES, INC.",131486-1011,"EDGARDO BONILLA VALIDATION SERVICES, INC.",ACTIVA,exact
Envasadora de Azúcar Inc.,131505-111,"ENVASADORA DE AZUCAR, INC.",ACTIVA,exact
FANCY KIDS CORPORATION,131994-111,FANCY KIDS CORPORATION,CANCELADA,exact
SUIZA FRUIT CORPORATION,132028-111,SUIZA FRUIT CORPORATION,ACTIVA,exact
Stars Quarry Inc.,132231-111,"STARS QUARRY, INC.",DISUELTA,exact
SJG ACQUISITION CORPORATION,131701-111,SJG ACQUISITION CORPORATION,ACTIVA,exact
Suiza Fruit Corporation,132028-111,SUIZA FRUIT CORPORATION,ACTIVA,exact
"SERRALLES ENVIRONMENTAL TECHNOLOGIES, INC.",131937-111,"SERRALLES ENVIRONMENTAL TECHNOLOGIES, INC.",ACTIVA,exact
"PAC-TECH INTERNATIONAL, INC. ",133304-111,"PAC-TECH INTERNATIONAL, INC.",ACTIVA,exact
JCG Foods Corp,133389-111,J.C.G. FOODS CORP.,CANCELADA,exact
"Omega Market Research, Corp.",133638-111,OMEGA MARKET RESEARCH CORP.,ACTIVA,exact
Sofscape caribe Inc.,133699-111,"SOFSCAPE CARIBE, INC.",DISUELTA,exact
Wovenware Inc.,133940-111,WOVENWARE INC.,ACTIVA,exact
Ameriplast Inc.,134020-111,"AMERIPLAST, INC.",CANCELADA,exact
WDC PUERTO RICO INC,134060-111,"WDC PUERTO RICO, INC.",ACTIVA,exact
"ZAYCOR INDUSTRIES, CORP.",134070-1011,"ZAYCOR INDUSTRIES, CORP.",CANCELADA,exact
JRM Inc.,134104-111,"J.R.M., INC.",CANCELADA,exact
26 Metal Recycling Corp,134407-111,26 METAL RECYCLING CORP.,ACTIVA,exact
Omega Market Research Corp,133638-111,OMEGA MARKET RESEARCH CORP.,ACTIVA,exact
Pentaq Manufacturing Corp ,135173-1011,"PENTAQ MANUFACTURING, CORP.",ACTIVA,exact
COLIR CORP,135633-111,COLIR CORP.,ACTIVA,exact
Tropical Aviation Corp,136178-111,"TROPICAL AVIATION, CORP.",CANCELADA,exact
TV Films Inc.,136269-111,TV FILMS INC.,CANCELADA,exact
PENTAQ MANUFACTURING CORP,135173-1011,"PENTAQ MANUFACTURING, CORP.",ACTIVA,exact
Maristella Inc.,136471-111,"MARISTELLA, INC.",ACTIVA,exact
Macro Orthopedic Corp,136566-111,"MACRO ORTHOPEDIC, CORP.",ACTIVA,exact
Cabinet Gallery Inc,136580-111,CABINET GALLERY INC.,CANCELADA,exact
"ELABORACIONES EL TRIGAL, INC.",136672-111,"ELABORACIONES EL TRIGAL, INC.",ACTIVA,exact
"CARIBBEAN TECHNICAL SERVICES (CTS), INC.",137078-1011,"CARIBBEAN TECHNICAL SERVICES (C.T.S.), INC.",ACTIVA,exact
"YUMAC HOME FURNITURE, INC.",137166-111,YUMAC HOME FURNITURE INC.,ACTIVA,exact
"Moriah Engineering Solutions, Inc.",137263-1011,"MORIAH ENGINEERING SOLUTIONS, INC.",ACTIVA,exact
"EL GUAJIBARO, INC.",137570-111,"EL GUAJIBARO, INC.",ACTIVA,exact
